"ensembl_gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"mgi_symbol"
"8414"	"ENSMUSG00000031434"	114.494587308197	2.42515927045644	0.249965242217385	9.7019859599015	2.956863075144e-22	8.71458920801922e-20	"Morc4"
"192"	"ENSMUSG00000001095"	38.7432255117577	-3.21230352991652	0.334023646286232	-9.61699438237921	6.77828306242447e-22	1.96386390964549e-19	"Slc13a2"
"7249"	"ENSMUSG00000029254"	44.8036752955362	2.99844102912416	0.312209962487829	9.60392488833872	7.69568385564373e-22	2.1925003304729e-19	"Stap1"
"8376"	"ENSMUSG00000031375"	2072.06896027565	1.20900789205086	0.126392281102995	9.56551999457676	1.11638841659197e-21	3.12844976938083e-19	"Bgn"
"7188"	"ENSMUSG00000029162"	11968.6739779941	1.22184181213636	0.128283859923476	9.52451705822706	1.65811078878677e-21	4.57157190701952e-19	"Khk"
"6805"	"ENSMUSG00000028555"	48.502560894371	3.0106070738024	0.317035625328887	9.49611599857035	2.17865046099263e-21	5.91140491749334e-19	"Ttc39a"
"623"	"ENSMUSG00000003644"	355.587705878966	1.45964298746665	0.153869837739329	9.48621905964077	2.39566277842306e-21	6.39866555224435e-19	"Rps6ka1"
"679"	"ENSMUSG00000004105"	260.739689153645	1.56891394153099	0.165671425402416	9.47003345761107	2.79754074594236e-21	7.35710177094441e-19	"Angptl2"
"11979"	"ENSMUSG00000040420"	63.5236614918686	2.5302545241835	0.268874731651883	9.41053295948788	4.93627510604103e-21	1.27849525246463e-18	"Cdh18"
"4213"	"ENSMUSG00000023886"	138.619423344704	2.04451360705451	0.217990831501943	9.37889723603483	6.6666315427418e-21	1.70088656106908e-18	"Smoc2"
"5537"	"ENSMUSG00000026335"	590.339174396727	1.27519842556366	0.137092464954313	9.30173971259935	1.38166162101545e-20	3.47325349259384e-18	"Pam"
"8163"	"ENSMUSG00000030934"	17280.8415585735	-1.38159917508134	0.148879201422987	-9.28000124850223	1.69476579195814e-20	4.19859803590325e-18	"Oat"
"2244"	"ENSMUSG00000019935"	939.46655985867	2.33191240860115	0.252565945638435	9.23288530726721	2.63438103318347e-20	6.43315848303402e-18	"Slc17a8"
"10123"	"ENSMUSG00000035493"	824.644141708136	1.34369801646622	0.146195268821055	9.1911183398891	3.887780995696e-20	9.36024342822921e-18	"Tgfbi"
"2597"	"ENSMUSG00000020532"	1489.3083772685	1.65209428669037	0.179900797452373	9.18336277596407	4.17834837889789e-20	9.83601959554603e-18	"Acaca"
"14702"	"ENSMUSG00000049493"	49.4148878473131	3.32055101068023	0.361605731535118	9.18279419019041	4.2004763687543e-20	9.83601959554603e-18	"Pls1"
"10011"	"ENSMUSG00000035184"	310.691324542034	1.39062314619938	0.151598296514606	9.1730789736506	4.59697446662821e-20	1.06190110179112e-17	"Fam124a"
"6096"	"ENSMUSG00000027332"	4070.50414794813	-1.13298497574744	0.123623814402233	-9.16477930426136	4.96484601475388e-20	1.1315877036827e-17	"Ivd"
"846"	"ENSMUSG00000005397"	462.53748112657	1.48975877650466	0.162611595946503	9.16145474025584	5.12023483154296e-20	1.15164860803152e-17	"Nid1"
"6428"	"ENSMUSG00000027907"	69.176400421597	2.33362615332839	0.255151261517141	9.14604983511559	5.9053453547192e-20	1.31098666874766e-17	"S100a11"
"8945"	"ENSMUSG00000032310"	8893.14645614553	-1.44133191863627	0.158610981052141	-9.08721394367047	1.01609312849664e-19	2.22141230374655e-17	"Cyp1a2"
"3370"	"ENSMUSG00000021876"	15906.3014801927	-1.16389700231867	0.12809654303843	-9.08609221381944	1.02662672280319e-19	2.22141230374655e-17	"Rnase4"
"5830"	"ENSMUSG00000026827"	1092.67182900385	1.35063420797299	0.149151113464473	9.05547519291366	1.35974428973845e-19	2.90543361109863e-17	"Gpd2"
"6982"	"ENSMUSG00000028838"	265.481153641121	1.71300050499205	0.190077859577716	9.01209908822474	2.02149564874957e-19	4.26610452095372e-17	"Extl1"
"15577"	"ENSMUSG00000052684"	308.852150587665	1.84513673334833	0.205518228814499	8.97797117069237	2.75805328221171e-19	5.74152971354566e-17	"Jun"
"11305"	"ENSMUSG00000038656"	3239.50024759192	-1.91728694219962	0.213582678683346	-8.97679041212028	2.78780254021464e-19	5.74152971354566e-17	"Cyp3a16"
"5039"	"ENSMUSG00000025351"	109.313506537144	2.32534703450998	0.259746451550276	8.95237267200891	3.4792208443935e-19	7.08021441834077e-17	"Cd63"
