"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000028076",4066.95822946065,-0.287872446156259,0.141434607263939,-2.03537487553554,0.0418131673746451,0.208009403129623,"Cd1d1"
"ENSMUSG00000028580",884.558763661649,-0.257687112399595,0.126613436694451,-2.03522721700902,0.0418280156813252,0.208023544118921,"Pum1"
"ENSMUSG00000037788",103.440712445242,0.422551018807291,0.207730744152215,2.03412846053094,0.0419386451167055,0.208513889221566,"Vopp1"
"ENSMUSG00000020460",556.782990847001,-0.28444781832436,0.139851138115001,-2.03393280997438,0.0419583703468261,0.208537026208642,"Rps27a"
"ENSMUSG00000048485",3.18610645754509,0.72576074339242,0.356841967642987,2.03384357559234,0.0419673694459246,0.208537026208642,"Zbtb8b"
"ENSMUSG00000048047",493.89411585959,-0.299262102447595,0.147163590251422,-2.03353357944259,0.0419986445980986,0.208587813804269,"Zbtb33"
"ENSMUSG00000043421",53.559679604031,0.570360095342591,0.280481473488552,2.03350363305144,0.0420016668992378,0.208587813804269,"Hilpda"
"ENSMUSG00000021097",2444.58218968041,-0.448205357815783,0.220448755457972,-2.03314986689155,0.0420373842275243,0.208705374358256,"Clmn"
"ENSMUSG00000048521",21.1590868291757,-0.705548939662,0.347073930065379,-2.03284913830634,0.0420677669260237,0.208796390010659,"Cxcr6"
"ENSMUSG00000090323",25.909991759195,-0.623139288961446,0.306571016104326,-2.03260992144604,0.0420919483440923,0.208856583321331,"Gm5263"
"ENSMUSG00000081400",625.956086313461,-0.295863361177952,0.145618892932516,-2.03176493942351,0.0421774581635044,0.209220961236485,"Gm13680"
"ENSMUSG00000068245",49.2170693670839,0.527312028442255,0.259553104010245,2.03161518893429,0.0421926278161515,0.209236308577692,"D14Ertd668e"
"ENSMUSG00000037466",6.72153816884047,0.76756639837512,0.377854616246375,2.0313802329588,0.042216438046574,0.20927156504786,"4930427A07Rik"
"ENSMUSG00000031101",30.4584175115277,0.594007902275553,0.292441969119541,2.03119922924859,0.0422347885534208,0.20927156504786,"Sash3"
"ENSMUSG00000023861",999.879041910624,0.359016038126542,0.17676514740482,2.03103407768692,0.0422515378259925,0.20927156504786,"Brp44l"
"ENSMUSG00000081120",18.2913129030439,-0.708432783002466,0.348808871552442,-2.03100563311205,0.0422544231732912,0.20927156504786,"Gm12458"
"ENSMUSG00000056476",43.1560850224704,-0.642821058652086,0.316512589394176,-2.03094941620643,0.0422601261673956,0.20927156504786,"Med12l"
"ENSMUSG00000083716",699.710076140444,-0.309932629184434,0.1526244523692,-2.03068790336889,0.0422866642243968,0.209343151718892,"Gm13436"
